"","Module title","ID","Composite name","Module size...4","Module category","Annotation level","Web link","Top matched pathway in KEGG, PID and BIOCARTA","Jaccard Index...10","Enrichment p value...11","Pathway size","Overlap size...13","Top matched Chaussabel module","Jaccard Index...15","Enrichment p value...16","Module size...17","Overlap size...18","Top matched Transcription Factor","Jaccard Index...20","Enrichment p value...21","Gene set size","Overlap size...23","Top matched Gene Ontology terms (number of matched genes)","btm","group","subgroup","SetSize","Genes"
"146","proinflammatory cytokines and chemokines","M29","proinflammatory cytokines and chemokines (M29)",10,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M29.htm","BIOCARTA_LAIR_PATHWAY",0.23,3.45e-14,17,5,NA,NA,NA,NA,NA,"CEBPB_01",0.01,8.61e-05,203,3,"inflammatory response (9), extracellular region (8), protein binding (7)","M29","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",10,"PTX3, CCRL2, IL6, CCL3 /// CCL3L1 /// CCL3L3, TNF, IL1A, C3, CCL20, IL1B, IL8"
"147","proinflammatory dendritic cell, myeloid cell response","M86.1","proinflammatory dendritic cell, myeloid cell response (M86.1)",13,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M86.1.htm","[PID]IL27-mediated signaling events",0.15,2.15e-10,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"signal transduction (7), protein binding (7), immune response (6)","M86.1","INNATE RESPONSE","DC ACTIVATION",13,"ADORA2A /// CYTSA, STAT4, CCL4, TNFAIP6, IFNG, CD80, GCH1, SERPINB9, TNF, HS3ST3B1, CCL20, IL1B, PDE4B"
"148","putative targets of PAX3","M89.0","putative targets of PAX3 (M89.0)",16,"TF targets","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M89.0.htm","[PID]Calcineurin-regulated NFAT-dependent transcription in lymphocytes",0.07,1.98e-08,42,4,NA,NA,NA,NA,NA,"PAX3_B",0.07,1.86e-15,102,8,"protein binding (11), nucleus (9), signal transduction (7)","M89.0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",26,"PLK2, G0S2, CXCL2, SIK1, EGR2, EGR3, CD83, EGR1, NR4A1, HBEGF, NR4A2, IL8, MAFF, CDKN1A, GEM, DUSP2, EGR2, EGR3, CD83, NR4A1, INHBA, NR4A2, RGS1, DUSP1, ATF3, DUSP2"
"149","putative targets of PAX3","M89.1","putative targets of PAX3 (M89.1)",10,"TF targets","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M89.1.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HFH8_01",0.03,6.41e-09,172,5,"protein binding (7), nucleus (7), sequence-specific DNA binding transcription factor activity (5)","M89.1","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",26,"PLK2, G0S2, CXCL2, SIK1, EGR2, EGR3, CD83, EGR1, NR4A1, HBEGF, NR4A2, IL8, MAFF, CDKN1A, GEM, DUSP2, EGR2, EGR3, CD83, NR4A1, INHBA, NR4A2, RGS1, DUSP1, ATF3, DUSP2"
"150","receptors, cell migration","M109","receptors, cell migration (M109)",15,"molecular function","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M109.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plasma membrane (11), protein binding (10), integral to membrane (8)","M109","ECM AND MIGRATION","ECM AND MIGRATION",15,"TGFBR3, NCKAP1L, LRRK2, C3AR1, S1PR1, SYNE2, IL6R, CCR1, CCR2, CORO1A, TRIB1, CCR7, LEF1, GATA3, BCL2"
"151","recruitment of neutrophils","M132","recruitment of neutrophils (M132)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M132.htm","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.02,9.66e-05,190,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-protein coupled receptor protein signaling pathway (11), plasma membrane (9), integral to membrane (9)","M132","NEUTROPHILS","NEUTROPHILS",11,"PROK2, FPR1, FPR2, GNG10, C5AR1, GPR109B, CXCR1, CCR3, PTAFR, FFAR2, F2RL1"
"152","regulation of antigen presentation and immune response","M5.0","regulation of antigen presentation and immune response (M5.0)",81,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M5.0.htm","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.14,3.9e-35,108,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (72), plasma membrane (57), T cell receptor signaling pathway (36)","M5.0","INNATE RESPONSE","ANTIGEN PRESENTATION",81,"NCKAP1L, THEMIS, HLA-DPB1, JUN, NFKBIA, PTPN6, TLR5, HLA-DRA, CD4, PRKCQ, PLCG1, CD247, TRBC1, FCGR1B, CCR7, TLR6, TLR10, FYB, TLR2, FCER1G, TRAT1, LILRB2, LILRB1, CLEC7A, BTLA, FYN, FGR, CD86, GRAP2, HLA-DQB1, ZAP70, PAG1, MNDA, IRAK3, LCK, DUSP6, PTPN22, PAK1, CTSH, CTLA4, LCP2, TLR4, CSK, FOS, LAT2, CARD11, HLA-DRB1, CHUK, CD24, UBASH3A, MAP2K6, TLR7, LY96, HCK, VASP, LYN, LIME1, MAPK14, MYD88, INPP5D, ITK, TRAC, SLA2, KLRK1, HLA-DMB, RPS6KA1, HLA-DQA1, MEF2C, SYK, MEF2A, TLR1, PTPRC, HLA-DOA, HLA-DOB, HLA-DMA, HLA-DPA1, CD19, CD3D, CD3E, BTK, CD3G"
"153","regulation of localization (GO)","M63","regulation of localization (GO) (M63)",12,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M63.htm","KEGG_RENAL_CELL_CARCINOMA",0.04,6.46e-06,70,3,"[Chaussabel.v2]M4.16",0.03,1.73e-05,97,3,NA,NA,NA,NA,NA,"protein binding (12), cytoplasm (10), cytosol (9)","M63","ECM AND MIGRATION","ECM AND MIGRATION",12,"SNX17, TGFB1, ARAP1, AKT1, PKN1, MAP2K2, STXBP2, NAPA, ARHGDIA, FLNA, TSC2, NR1H2"
"154","regulation of signal transduction","M3","regulation of signal transduction (M3)",47,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M3.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (39), plasma membrane (24), cytoplasm (23)","M3","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",47,"PTK2, TIMP2, WLS, KIF26A, ECM1, GAB1, CCR1, FOXO1, C5AR1, APCDD1, S100A12, SOX7, PLXNB2, FZD8, TRAT1, CSF1R, SULF2, CDK14, PSD3, JUP, ADAP2, NOD2, TIAM2, LYN, FGD4, ENG, FPR1, KLF4, PRKCD, UBASH3A, SHANK3, GATA3, GH1, HPSE, IL1RN, LRP1, BMP2, SYK, HMOX1, TLR2, RGL1, CTGF, ZNF423, TLR5, BCL6, CD3E, ASAP2"
"155","respiratory electron transport chain (mitochondrion)","M216","respiratory electron transport chain (mitochondrion) (M216)",12,"location","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M216.htm","KEGG_PARKINSONS_DISEASE",0.09,1.28e-27,133,12,"[Chaussabel.v2]M6.2",0.02,7.13e-05,156,3,NA,NA,NA,NA,NA,"respiratory electron transport chain (12), mitochondrion (12), mitochondrial inner membrane (12)","M216","ENERGY METABOLISM","ENERGY METABOLISM",58,"NDUFA7, NDUFB7, COX6A1, UQCRB, NDUFB10, ATP5J, UQCR10, ATP5H, NDUFS6, COX7B, COX7C, COX6C, UQCRC2, COX5A, COX5B, UQCR10, COX7B, CYC1, UQCRB, UQCRQ, UQCRH, COX8A, ATP5L, COX6B1, UQCRFS1, UQCRC1, COX6A1, COX7C, COX6C, COX7A2L, ATP5C1, NDUFAB1, COX5A, NDUFB4, NDUFB3, NDUFB1, NDUFS3, NDUFA8, ATP5L, UQCRFS1, NDUFB11, NDUFA6, NDUFA4, NDUFA2, NDUFA3, ATP5J2, NDUFB6, NDUFB2, UQCRQ, NDUFC2, ATP5I, ATP5O, NDUFA11, UQCRH, NDUFS7, NDUFS8, NDUFS4, ATP5D"
"156","respiratory electron transport chain (mitochondrion)","M219","respiratory electron transport chain (mitochondrion) (M219)",18,"location","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M219.htm","KEGG_CARDIAC_MUSCLE_CONTRACTION",0.21,8.34e-42,80,17,"[Chaussabel.v2]M5.13",0.03,2.39e-07,177,5,"ER_Q6_02",0.02,4.83e-07,204,5,"respiratory electron transport chain (18), mitochondrion (18), mitochondrial inner membrane (18)","M219","ENERGY METABOLISM","ENERGY METABOLISM",58,"NDUFA7, NDUFB7, COX6A1, UQCRB, NDUFB10, ATP5J, UQCR10, ATP5H, NDUFS6, COX7B, COX7C, COX6C, UQCRC2, COX5A, COX5B, UQCR10, COX7B, CYC1, UQCRB, UQCRQ, UQCRH, COX8A, ATP5L, COX6B1, UQCRFS1, UQCRC1, COX6A1, COX7C, COX6C, COX7A2L, ATP5C1, NDUFAB1, COX5A, NDUFB4, NDUFB3, NDUFB1, NDUFS3, NDUFA8, ATP5L, UQCRFS1, NDUFB11, NDUFA6, NDUFA4, NDUFA2, NDUFA3, ATP5J2, NDUFB6, NDUFB2, UQCRQ, NDUFC2, ATP5I, ATP5O, NDUFA11, UQCRH, NDUFS7, NDUFS8, NDUFS4, ATP5D"
"157","respiratory electron transport chain (mitochondrion)","M231","respiratory electron transport chain (mitochondrion) (M231)",11,"location","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M231.htm","KEGG_OXIDATIVE_PHOSPHORYLATION",0.07,5.35e-22,135,10,"[Chaussabel.v2]M5.10",0.02,3.49e-06,230,4,NA,NA,NA,NA,NA,"respiratory electron transport chain (11), mitochondrion (11), mitochondrial inner membrane (11)","M231","ENERGY METABOLISM","ENERGY METABOLISM",58,"NDUFA7, NDUFB7, COX6A1, UQCRB, NDUFB10, ATP5J, UQCR10, ATP5H, NDUFS6, COX7B, COX7C, COX6C, UQCRC2, COX5A, COX5B, UQCR10, COX7B, CYC1, UQCRB, UQCRQ, UQCRH, COX8A, ATP5L, COX6B1, UQCRFS1, UQCRC1, COX6A1, COX7C, COX6C, COX7A2L, ATP5C1, NDUFAB1, COX5A, NDUFB4, NDUFB3, NDUFB1, NDUFS3, NDUFA8, ATP5L, UQCRFS1, NDUFB11, NDUFA6, NDUFA4, NDUFA2, NDUFA3, ATP5J2, NDUFB6, NDUFB2, UQCRQ, NDUFC2, ATP5I, ATP5O, NDUFA11, UQCRH, NDUFS7, NDUFS8, NDUFS4, ATP5D"
"158","respiratory electron transport chain (mitochondrion)","M238","respiratory electron transport chain (mitochondrion) (M238)",17,"location","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M238.htm","KEGG_OXIDATIVE_PHOSPHORYLATION",0.13,7.39e-39,135,17,"[Chaussabel.v2]M6.2",0.03,9.26e-08,156,5,NA,NA,NA,NA,NA,"respiratory electron transport chain (17), mitochondrion (17), mitochondrial inner membrane (17)","M238","ENERGY METABOLISM","ENERGY METABOLISM",58,"NDUFA7, NDUFB7, COX6A1, UQCRB, NDUFB10, ATP5J, UQCR10, ATP5H, NDUFS6, COX7B, COX7C, COX6C, UQCRC2, COX5A, COX5B, UQCR10, COX7B, CYC1, UQCRB, UQCRQ, UQCRH, COX8A, ATP5L, COX6B1, UQCRFS1, UQCRC1, COX6A1, COX7C, COX6C, COX7A2L, ATP5C1, NDUFAB1, COX5A, NDUFB4, NDUFB3, NDUFB1, NDUFS3, NDUFA8, ATP5L, UQCRFS1, NDUFB11, NDUFA6, NDUFA4, NDUFA2, NDUFA3, ATP5J2, NDUFB6, NDUFB2, UQCRQ, NDUFC2, ATP5I, ATP5O, NDUFA11, UQCRH, NDUFS7, NDUFS8, NDUFS4, ATP5D"
"159","signal transduction, plasma membrane","M82","signal transduction, plasma membrane (M82)",13,"signaling","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M82.htm","KEGG_FOCAL_ADHESION",0.03,8.29e-10,201,6,NA,NA,NA,NA,NA,"AAANWWTGC_UNKNOWN",0.02,1.9e-06,163,4,"protein binding (12), signal transduction (8), plasma membrane (6)","M82","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",13,"SFRP2, PDGFRB, PDGFRA, FN1, FAP, IGFBP5, DOCK4, NR2F2, COL1A2, COL1A1, SNAI2, LAMC1, DLC1"
"160","signaling in T cells (I)","M35.0","signaling in T cells (I) (M35.0)",14,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M35.0.htm","[PID]Downstream signaling in na&#xef;ve CD8+ T cells",0.39,1.57e-34,29,12,NA,NA,NA,NA,NA,"SRF_01",0.07,1.73e-08,47,4,"protein binding (11), regulation of transcription, DNA-dependent (7), nucleus (7)","M35.0","T CELLS","T CELLS",14,"IL2RA, JUNB, GZMB, FOS, IFNG, FOSB, EGR1, JUN, TNF, FASLG, PRF1, TNFRSF4, ATF3, TNFRSF9"
"161","signaling in T cells (II)","M35.1","signaling in T cells (II) (M35.1)",11,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M35.1.htm","[PID]Downstream signaling in na&#xef;ve CD8+ T cells",0.38,2.13e-33,29,11,"[Chaussabel.v2]M3.6",0.07,5.74e-09,47,4,"NFKAPPAB_01",0.01,0.000103,194,3,"protein binding (9), plasma membrane (7), external side of plasma membrane (7)","M35.1","T CELLS","T CELLS",11,"IL2RA, IL2RB, GZMB, IFNG, TNF, FOSL1, PRF1, TNFRSF4, FASLG, TNFRSF18, TNFRSF9"
"162","small GTPase mediated signal transduction","M215","small GTPase mediated signal transduction (M215)",16,"signaling","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M215.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"small GTPase mediated signal transduction (16), regulation of small GTPase mediated signal transduction (16), cytosol (16)","M215","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",16,"TAGAP, RAC2, FGD3, ARAP1, RHOH, GMIP, VAV1, ARHGAP30, HMHA1, ARHGAP15, ARHGDIB, ARHGAP9, ARHGAP25, ARHGDIA, ARHGAP4, RHOG"
"163","suppression of MAPK signaling","M56","suppression of MAPK signaling (M56)",12,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M56.htm","[PID]ErbB1 downstream signaling",0.04,4.26e-06,61,3,NA,NA,NA,NA,NA,"TAXCREB_01",0.03,2.19e-05,105,3,"protein binding (9), plasma membrane (5), nucleus (5)","M56","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",12,"HSPA6, RASGRP4, FOS, CD14, ARRB2, ARRB1, CACNA2D3, IL1B, DUSP6, DUSP1, IL1R2, DUSP3"
"164","targets of FOSL1/2","M0","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",12,"CCL2, DCN, LIF, PLAU, IL6, MGP, COL1A2, MMP9, THBD, MMP2, IL8, MMP1"
"165","type I interferon response","M127","type I interferon response (M127)",12,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M127.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.4",0.1,1.26e-13,53,6,NA,NA,NA,NA,NA,"protein binding (9), cytosol (7), response to virus (6)","M127","IFN","INTERFERON/ANTIVIRAL SENSING",12,"TAP1, IFIH1, IRF7, PARP9, STAT1, PLSCR1, IFITM1, HERC5, DDX60, USP18, RSAD2, IFIT1"
"166","viral sensing & immunity; IRF2 targets network (I)","M111.0","viral sensing & immunity; IRF2 targets network (I) (M111.0)",17,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M111.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICSBP_Q6",0.09,3.37e-36,190,17,"protein binding (11), plasma membrane (7), extracellular region (6)","M111.0","INNATE RESPONSE","INTERFERON/ANTIVIRAL SENSING",17,"TAP1, KYNU, TLR7, ZBP1, IFI35, LY86, THBS1, TNFSF13B, PSMB8, EREG, FES, BST2, USP18, CTSS, RIPK2, AIF1, CXCL16"
"167","viral sensing & immunity; IRF2 targets network (II)","M111.1","viral sensing & immunity; IRF2 targets network (II) (M111.1)",11,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M111.1.htm","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.06,1.18e-08,56,4,"[Chaussabel.v2]M3.4",0.05,2.09e-06,53,3,"IRF_Q6",0.07,9.88e-25,151,11,"protein binding (6), nucleus (5), cytoplasm (5)","M111.1","INNATE RESPONSE","INTERFERON/ANTIVIRAL SENSING",11,"TAP1, DDX58, PSMB10, ZBP1, CASP1, PSMB8, BST2, CXCL10, USP18, IFIT2, TNFSF13B"
